input,output
Please go.,"Por favor, ve."
Please go.,"Por favor, vete."
Please go.,"Por favor, márchate."
Please go.,"Por favor, váyase."
Put it on.,Póntelo.
Put it on.,Póngaselo.
Put it on.,Ponéoslo.
Put it on.,Pónganselo.
Read this.,Lee esto.
Read this.,Lea esto.
Read this.,Lean esto.
Read this.,Leed esto.
Rest here.,Descansa aquí.
Say hello.,Decí hola.
Search me.,A mí que me registren.
See above.,Véase arriba.
See above.,Véase más arriba.
Seize him!,¡A por él!
Seize him!,¡Cogedlo!
Seize him!,¡Arrestadlo!
Seize him!,¡Prendedlo!
Seize him!,¡Capturadlo!
Seriously?,¿En serio?
She tried.,Ella lo intentó.
She tried.,Ella lo probó.
She walks.,Ella anda.
She walks.,Ella camina.
She walks.,Anda.
She's hot.,Ella es candente.
She's hot.,Está como un tren.
She's hot.,Está de toma pan y moja.
She's hot.,Está buena.
She's hot.,Está que cruje.
Sign here.,Firme aquí.
Sign this.,Firma esto.
Sign this.,Firme esto.
Sign this.,Firmen esto.
Sign this.,Firmá esto.
Sign this.,Firmad esto.
Sit still.,Siéntate y no te muevas.
Sit still.,Siéntate y quédate quieto.
Sit there.,Sentate ahí.
Sit tight.,Tú mantente.
Slow down.,Quieto.
Slow down.,Más despacio.
Stay away.,Fuera.
Stay away.,Aléjate.
Stay calm.,Mantén la calma.
Stay calm.,Quedate tranquilo.
Stay calm.,Mantené la calma.
Stay here.,Quedate acá.
Stay home.,Quédate en casa.
Stay thin.,Mantente delgado.
Step back.,Da un paso atrás.
Stop here.,Para aquí.
Stop here.,Párate aquí.
Stop here.,Detente aquí.
Stop here.,Deténgase aquí.
Stop here.,Deténganse aquí.
Stop here.,Paraos aquí.
Stop here.,Parad aquí.
Stop that.,Para eso.
Stop them.,Detenlos.
Stop them.,Párales.
Take care!,¡Cuidate!
Take care!,¡Te cuidas!
Take care.,Cuídate.
Take care.,Cuidaos.
Take mine.,Coge el mío.
Take mine.,Toma el mío.
Take over.,Asume el mando.
Take over.,Toma el control.
Take over.,Encárgate tú.
Take this.,Toma esto.
Take this.,Tome esto.
Take this.,Tomen esto.
Take this.,Tomá esto.
Thank you.,¡Gracias!
Thank you.,Te lo agradezco.
Thank you.,Gracias a ti.
Thank you.,Gracias.
Thank you.,Se lo agradezco.
That hurt.,Esa dolió.
That's it.,Eso es.
That's me.,Soy yo.
That's me.,Ese soy yo.
Then what?,¿Entonces qué?
They fell.,Cayeron.
They left.,Se fueron.
They left.,Se marcharon.
They left.,Se iban.
They lost.,Perdieron.
They swam.,Ellos nadaban.
They swam.,Ellas nadaban.
They swam.,Nadaron.
They swam.,Ellos nadaron.
Time's up.,Se acabó el tiempo.
Tom bowed.,Tom se inclinó.
Tom cared.,Tom se preocupó.
Tom cared.,Tom se preocupaba.
Tom cared.,A Tom le importaba.
Tom cares.,Tom se preocupa.
Tom cares.,A Tom le importa.
Tom cried.,Tom lloró.
Tom dozed.,Tom dormitó.
Tom drank.,Tom bebió.
Tom drove.,Tomás condujo.
Tom is OK.,Tom está bien.
Tom is in.,Tom está dentro.
Tom is up.,Tom está levantado.
Tom knits.,Tom teje.
Tom knows.,Tom sabe.
Tom moved.,Tom se mudó.
Tom moved.,Tom se movió.
Tom rocks.,Tom se mece.
Tom stood.,Tom se quedó.
Tom swims.,Tom nada.
Tom swore.,Tom juró.
Tom tried.,Tomás lo intentó.
Tom tries.,Tomás lo intenta.
Tom voted.,Tomás votó.
Tom walks.,Tom camina.
Tom waved.,Tom saludó.
Tom works.,Tomás trabaja.
Tom'll go.,Tom irá.
Tom's fat.,Tom está gordo.
Tom's mad.,Tom está loco.
Tom's sad.,Tom está triste.
Tom's shy.,Tom es tímido.
Trust Tom.,Confía en Tom.
Try again.,Inténtalo de nuevo.
Try again.,Intentadlo otra vez.
Try again.,Intenta otra vez.
Try it on.,Pruébatelo.
Unlock it.,Abre el candado.
Wait here.,Espera aquí.
Wait here.,Aguarda aquí.
Wait here.,Esperen aquí.
Wait here.,Esperad aquí.
Watch Tom.,Vigila a Tom.
Watch out!,¡Abusado!
We agreed.,Nos pusimos de acuerdo.
We can go.,Podemos ir.
We can go.,Podemos irnos.
We can go.,Nos podemos marchar.
We did it.,Lo logramos.
We failed.,Fallamos.
We failed.,Hemos fallado.
We forgot.,Nos olvidamos.
We saw it.,Le vimos.
We saw it.,La vimos.
We saw it.,Lo vimos.
We saw it.,Lo veíamos.
We talked.,Conversamos.
We waited.,Nosotros esperamos.
We yawned.,Bostezamos.
We'll see.,Veremos.
We'll see.,Después veremos.
We'll see.,Ya veremos.
We'll try.,Lo intentaremos.
We'll win.,Ganaremos nosotros.
We'll win.,Ganaremos nosotras.
We're sad.,Estamos tristes.
We've won!,¡Hemos ganado!
Well done.,Bien hecho.
What's up?,¿Qué hay?
Who cares?,¿A quién le importa?
Who drove?,¿Quién condujo?
Who drove?,¿Quién conducía?
Who is he?,¿Quién es él?
Who is it?,¿Quién es?
Who knows?,Aabe...
Who stood?,¿Quién se quedó?
Who'll go?,¿Quién irá?
Who's Tom?,¿Quién es Tom?
Work more.,Trabaja más.
Write Tom.,Escribe a Tom.
You drive.,Tú maneja.
You idiot!,¡Pedazo de idiota!
You smell.,Apestas.
You start.,Tú empieza.
You stink.,Apestas.
You tried.,Lo intentaste.
You're OK.,Tú estás perfectamente.
You're OK.,Estás perfectamente.
Aim higher.,Más alto.
Aim higher.,Apuntad más alto.
All aboard!,¡Todos a bordo!
All aboard!,¡Al abordaje!
Am I dying?,¿Me estoy muriendo?
Am I fired?,¿Estoy despedido?
Am I hired?,¿Estoy contratada?
Am I ready?,¿Estoy listo?
Am I right?,¿Tengo razón?
Am I wrong?,¿Me equivoco?
Am I wrong?,¿Estoy equivocada?
Answer Tom.,¡Respóndale a Tomás!
Answer Tom.,¡Respondele a Tomás!
Answer Tom.,¡Respóndanle a Tomás!
Are you 18?,¿Tienes dieciocho?
Are you 18?,¿Has cumplido dieciocho?
Are you OK?,¿Estás bien?
Are you in?,¿Te apuntas?
Are you in?,¿Estás dentro?
Are you up?,¿Estás levantado?
Ask anyone.,Pregúntale a cualquiera.
Ask anyone.,Preguntadle a cualquiera.
Ask anyone.,Pregúntele a cualquiera.
Ask anyone.,Pregúntenle a cualquiera.
Ask around.,Pregunta por aquí.
Ask around.,Pregunta en los alrededores.
Be careful!,¡Ten cuidado!
Be careful.,¡Ten cuidado!
Be careful.,¡Sé cuidadoso!
Be content.,Estate contento.
Be on time.,Llega a tiempo.
Be on time.,Llegue a tiempo.
Be patient.,Sea paciente.
Be prudent.,Sé prudente.
Be serious.,Sé serio.
Be sincere.,Sé sincero.
Birds sing.,Los pájaros cantan.
Birds sing.,Los pájaros están cantando.
Bottoms up!,¡Hasta el fondo!
Breathe in.,Inspira.
Breathe in.,Inspirad.
Bring food.,Traed comida.
Bring help.,Traed ayuda.
Bring wine.,Trae vino.
Can I come?,¿Puedo ir?
Can I come?,¿Puedo venir?
Can I come?,¿Puedo acercarme?
Can I help?,¿Puedo ayudar?
Can I stay?,¿Me puedo quedar?
Carry this.,Lleva esto.
Check that.,Comprobad eso.
Check this.,Comprueba esto.
Choose one.,Escoge uno.
Choose one.,Escoge una.
Come again.,Vuelve otra vez.
Come alone.,Ven solo.
Come along.,Vente.
Come along.,Vénganse.
Come early.,Vení temprano.
Come early.,Ven temprano.
Come early.,Vengan temprano.
Come early.,Venga temprano.
Come on in!,¡Pásale!
Come on in!,¡Pásele!
Come on in!,¡Pásenle!
Come on in.,Entre.
Come on in.,Pase.
Come quick!,¡Ven rápido!
Come quick!,¡Vení rápido!
Come quick!,Ven deprisa.
Come to me.,Ven a mí.
Come to me.,Venid a mí.
Come to us.,Ven a nosotros.
Come to us.,Venid a nosotros.
Correct it.,Corrígelo.
Correct it.,Corrígela.
Correct it.,Corregidlo.
Correct it.,Corregidla.
Correct it.,Corríjalo.
Correct it.,Corríjala.
Correct it.,Corríjanlo.
Correct it.,Corríjanla.
Cut it out!,¡Ya párale!
Did Tom go?,¿Fue Tom?
Did we win?,¿Ganamos?
Do come in.,Pasa adentro.
Do come in.,Entra de una vez.
Do come in.,Entra ya.
Do come in.,Métete dentro.
Do men cry?,¿Los hombres lloran?
Don't come.,No vengas.
Don't jump!,¡No saltéis!
Don't jump!,¡No salten!
Don't look.,No miréis.
Don't look.,No miren.
Don't move!,¡No os mováis!
Don't move.,No te muevas.
Don't move.,No se mueva.
Don't move.,No se muevan.
Don't push.,No empujes.
Don't sing.,No cantes.
Don't sing.,No canten.
Don't stop.,No pares.
Don't stop.,No te pares.
Don't stop.,No se paren.
Don't stop.,No os paréis.
Don't talk!,¡No hables!
Don't talk!,¡No hablen!
Don't talk.,No hables.
Don't wait.,¡No esperes!
Don't wait.,¡No esperen!
Don't wait.,No esperes.
Don't yell.,No grites.
Don't yell.,No chilles.
Don't yell.,No chilléis.
Don't yell.,No chille.
Don't yell.,No chillen.
Eat slowly.,Come despacio.
Eat slowly.,¡Comé despacio!
Enjoy life.,Disfruta la vida.
